"","X","YEAR","MONTH","DAY","SITE","TRANSECT","SP_CODE","QUAD","SIDE","FISH.SIZE","COUNT","AREA","GROUP","DIVISION.FAMILY","COMMON.DIVISION.NAME","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES"
"34",34,2014,8,8,"LITTLE_BREWSTER","3","TAAD",NA,NA,"10-50",4,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"35",35,2014,8,7,"LITTLE_BREWSTER","4","TAAD",NA,NA,"10-50",1,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"36",36,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","TAAD",NA,NA,"0-10",2,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"37",37,2014,7,18,"NE_APPLEDORE","BROAD_COVE","POVI",NA,NA,"10-50",86,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"38",38,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","POVI",NA,NA,"10-50",38,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"39",39,2014,7,18,"NE_APPLEDORE","NORWEGIAN_COVE","POVI",NA,NA,"10-50",24,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"40",40,2014,8,20,"NUBBLE_LIGHT","1","TAAD",NA,NA,"0-10",1,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"41",41,2014,7,18,"NW_APPLEDORE","LARUS_LEDGE","TAAD",NA,NA,"YOY",1,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"42",42,2014,7,18,"NW_APPLEDORE","SANDPIPER","TAAD",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"43",43,2014,7,21,"NW_APPLEDORE","MAGIC_8_BALL","TAAD",NA,NA,"0-10",86,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"44",44,2014,7,18,"NW_APPLEDORE","LARUS_LEDGE","TAAD",NA,NA,"0-10",8,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"45",45,2014,7,18,"NW_APPLEDORE","SANDPIPER","POVI",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"46",46,2014,7,21,"NW_APPLEDORE","MAGIC_8_BALL","TAAD",NA,NA,"10-50",6,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"47",47,2014,7,18,"NW_APPLEDORE","LARUS_LEDGE","TAAD",NA,NA,"10-50",1,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"48",48,2014,7,19,"SW_APPLEDORE","SOUTH_PEPPERRELL","TAAD",NA,NA,"YOY",0,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"49",49,2014,7,19,"SW_APPLEDORE","NORTH_PEPPERRELL","TAAD",NA,NA,"0-10",10,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"50",50,2014,7,17,"SW_APPLEDORE","NORTH_SMITHS_COVE","TAAD",NA,NA,"0-10",5,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"51",51,2014,7,19,"SW_APPLEDORE","NORTH_PEPPERRELL","TAAD",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"52",52,2014,7,17,"SW_APPLEDORE","SOUTH_SMITHS_COVE","POVI",NA,NA,"10-50",70,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"53",53,2014,7,17,"SW_APPLEDORE","NORTH_SMITHS_COVE","TAAD",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"54",54,2014,7,17,"SW_APPLEDORE","NORTH_SMITHS_COVE","POVI",NA,NA,"10-50",5,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"55",1,2015,7,7,"BAKER_NORTH","2","TAAD",NA,NA,"YOY",10,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"56",2,2015,7,7,"BAKER_NORTH","1","TAAD",NA,NA,"0-10",15,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"57",3,2015,7,7,"BAKER_NORTH","2","TAAD",NA,NA,"0-10",33,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"58",4,2015,7,9,"BAKER_NORTH","3","TAAD",NA,NA,"0-10",38,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"59",5,2015,7,10,"BAKER_NORTH","4","TAAD",NA,NA,"0-10",26,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"60",6,2015,7,7,"BAKER_NORTH","1","TAAD",NA,NA,"10-50",55,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"61",7,2015,7,7,"BAKER_NORTH","2","TAAD",NA,NA,"10-50",11,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"62",8,2015,7,9,"BAKER_NORTH","3","TAAD",NA,NA,"10-50",38,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"63",9,2015,7,9,"BAKER_NORTH","3","TAON",NA,NA,"10-50",1,80,"Fish","Chordates","Fish",NA,"Tautog or Blackfish","Animalia","Chordata","Actinopteri","Perciformes","Labridae","Tautoga","Tautoga onitis"
"64",10,2015,7,10,"BAKER_NORTH","4","TAAD",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"65",11,2015,7,9,"BAKER_SOUTH","1","TAAD",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"66",12,2015,7,9,"BAKER_SOUTH","2","TAAD",NA,NA,"0-10",10,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"67",13,2015,7,13,"BAKER_SOUTH","3","TAAD",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"68",14,2015,7,9,"BAKER_SOUTH","2","TAAD",NA,NA,"10-50",25,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"69",15,2015,7,13,"BAKER_SOUTH","3","TAAD",NA,NA,"10-50",24,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"70",16,2015,7,13,"BAKER_SOUTH","4","TAAD",NA,NA,"10-50",35,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"71",17,2015,7,13,"BAKER_SOUTH","4","POVI",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"72",18,2015,7,14,"CALF_ISLAND","2","TAAD",NA,NA,"0-10",2,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"73",19,2015,7,14,"CALF_ISLAND","4","TAAD",NA,NA,"0-10",26,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"74",20,2015,7,14,"CALF_ISLAND","3","TAAD",NA,NA,"0-10",74,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"75",21,2015,7,14,"CALF_ISLAND","1","TAAD",NA,NA,"10-50",23,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"76",22,2015,7,14,"CALF_ISLAND","2","TAAD",NA,NA,"10-50",20,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"77",23,2015,7,14,"CALF_ISLAND","4","TAAD",NA,NA,"10-50",9,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"78",24,2015,7,14,"CALF_ISLAND","3","TAAD",NA,NA,"10-50",7,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"79",25,2015,7,17,"LITTLE_BREWSTER","2","TAAD",NA,NA,"0-10",8,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"80",26,2015,7,17,"LITTLE_BREWSTER","3","TAAD",NA,NA,"0-10",4,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"81",27,2015,7,15,"LITTLE_BREWSTER","1","TAAD",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"82",28,2015,7,17,"LITTLE_BREWSTER","3","TAAD",NA,NA,"10-50",38,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"83",29,2015,7,15,"LITTLE_BREWSTER","4","TAAD",NA,NA,"10-50",5,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"84",30,2015,8,13,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","TAAD",NA,NA,"0-10",59,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"85",31,2015,8,13,"NE_APPLEDORE","BROAD_COVE","TAAD",NA,NA,"0-10",1,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"86",32,2015,8,13,"NE_APPLEDORE","BROAD_COVE","POVI",NA,NA,"0-10",17,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"87",33,2015,8,12,"NE_APPLEDORE","BROADWAY_42ND","TAAD",NA,NA,"0-10",16,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"88",34,2015,8,12,"NE_APPLEDORE","NORWEGIAN_COVE","TAAD",NA,NA,"0-10",21,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"89",35,2015,8,12,"NE_APPLEDORE","NORWEGIAN_COVE","POVI",NA,NA,"0-10",9,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"90",36,2015,8,12,"NE_APPLEDORE","NORWEGIAN_COVE","PSAM",NA,NA,"0-10",1,80,"Fish","Chordates","Fish",NA,"Winter flounder","Animalia","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Pseudopleuronectes americanus"
"91",37,2015,8,13,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","TAAD",NA,NA,"10-50",18,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"92",38,2015,8,13,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","POVI",NA,NA,"10-50",24,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"93",39,2015,8,12,"NE_APPLEDORE","BROADWAY_42ND","URRE",NA,NA,"10-50",60,80,"Fish","Chordates","Fish",NA,"Spotted Hake",NA,NA,NA,NA,NA,NA,"Urophyicus regia"
"94",40,2015,8,12,"NW_APPLEDORE","SANDPIPER","TAAD",NA,NA,"YOY",1,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"95",41,2015,8,10,"NW_APPLEDORE","NORTH_HEAD","TAAD",NA,NA,"0-10",5,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"96",42,2015,8,10,"NW_APPLEDORE","NORTH_HEAD","POVI",NA,NA,"0-10",2,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"97",43,2015,8,10,"NW_APPLEDORE","MAGIC_8_BALL","TAAD",NA,NA,"0-10",7,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"98",44,2015,8,10,"NW_APPLEDORE","LARUS_LEDGE","TAAD",NA,NA,"0-10",11,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"99",45,2015,8,12,"NW_APPLEDORE","SANDPIPER","POVI",NA,NA,"10-50",12,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"100",46,2015,8,10,"NW_APPLEDORE","NORTH_HEAD","POVI",NA,NA,"10-50",12,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"101",47,2015,8,10,"NW_APPLEDORE","MAGIC_8_BALL","POVI",NA,NA,"10-50",1,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"102",48,2015,8,10,"NW_APPLEDORE","LARUS_LEDGE","POVI",NA,NA,"10-50",1,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"103",49,2015,8,13,"SW_APPLEDORE","NORTH_SMITHS_COVE","TAAD",NA,NA,"0-10",1,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"104",50,2015,8,11,"SW_APPLEDORE","NORTH_PEPPERRELL","TAAD",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"105",51,2015,8,12,"SW_APPLEDORE","SOUTH_PEPPERRELL","TAON",NA,NA,"0-10",41,80,"Fish","Chordates","Fish",NA,"Tautog or Blackfish","Animalia","Chordata","Actinopteri","Perciformes","Labridae","Tautoga","Tautoga onitis"
"106",1,2016,8,4,"BAKER_NORTH","4","TAAD",NA,NA,"0-10",8,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"107",2,2016,8,2,"BAKER_NORTH","1","TAAD",NA,NA,"0-10",46,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"108",3,2016,8,2,"BAKER_NORTH","2","TAAD",NA,NA,"0-10",8,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"109",4,2016,8,4,"BAKER_NORTH","4","TAAD",NA,NA,"10-50",1,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"110",5,2016,8,2,"BAKER_NORTH","1","TAAD",NA,NA,"10-50",13,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"111",6,2016,8,2,"BAKER_NORTH","2","TAAD",NA,NA,"10-50",18,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"112",7,2016,8,2,"BAKER_NORTH","1","TAAD",NA,NA,"50-100",2,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"113",8,2016,8,2,"BAKER_NORTH","2","TAAD",NA,NA,"50-100",4,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"114",9,2016,8,3,"BAKER_SOUTH","1","TAAD",NA,NA,"0-10",35,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"115",10,2016,8,3,"BAKER_SOUTH","2","TAAD",NA,NA,"0-10",13,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"116",11,2016,8,3,"BAKER_SOUTH","3","TAAD",NA,NA,"0-10",9,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"117",12,2016,8,3,"BAKER_SOUTH","4","TAAD",NA,NA,"0-10",5,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"118",13,2016,8,3,"BAKER_SOUTH","1","TAAD",NA,NA,"10-50",9,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"119",14,2016,8,3,"BAKER_SOUTH","2","TAAD",NA,NA,"10-50",3,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"120",15,2016,8,3,"BAKER_SOUTH","3","TAAD",NA,NA,"10-50",3,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"121",16,2016,8,3,"BAKER_SOUTH","4","TAAD",NA,NA,"10-50",3,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"122",17,2016,9,1,"CALF_ISLAND","4","TAAD",NA,NA,"YOY",2,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"123",18,2016,8,29,"CALF_ISLAND","2","TAAD",NA,NA,"0-10",11,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"124",19,2016,8,25,"CALF_ISLAND","3","TAAD",NA,NA,"0-10",27,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"125",20,2016,9,1,"CALF_ISLAND","4","TAAD",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"126",21,2016,8,29,"CALF_ISLAND","2","TAAD",NA,NA,"10-50",4,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
