"","X","YEAR","MONTH","DAY","SITE","TRANSECT","SIDE","SP_CODE","PERCENT_COVER","GROUP","DIVISION.FAMILY","COMMON.DIVISION.NAME","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES"
"19",19,2014,7,8,"BAKER_NORTH","1","I","LIGL",3.75,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Lithothamnion "
"20",20,2014,7,8,"BAKER_NORTH","1","I","MAST",1.25,"Algae","Rhodophyta","Erect Red Algae",NA,"false irish moss","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Phyllophoraceae","Mastocarpus","Mastocarpus stellatus"
"21",21,2014,7,8,"BAKER_NORTH","1","I","MYED",2.5,"Invertebrate","Molluscs","Bivalves",NA,"Blue Mussel","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Mytilus","Mytilus edulis"
"22",22,2014,7,8,"BAKER_NORTH","1","I","P",3.75,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,2014,7,8,"BAKER_NORTH","1","I","PHRU",1.25,"Algae","Rhodophyta","Erect Red Algae",NA,"sea oak","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Phycodrys","Phycodrys rubens"
"24",24,2014,7,8,"BAKER_NORTH","1","I","POLS",5,"Algae","Rhodophyta","Erect Red Algae",NA,"lobster horns",NA,NA,NA,NA,NA,NA,"Polysiphonia "
"25",25,2014,7,8,"BAKER_NORTH","1","I","RAT",6.25,"Algae","Rhodophyta","Erect Red Algae",NA,NA,NA,NA,NA,NA,NA,NA,"Red Algal Turf"
"26",26,2014,7,8,"BAKER_NORTH","1","I","S",2.5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,2014,7,8,"BAKER_NORTH","1","I","SH",3.75,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,2014,7,8,"BAKER_NORTH","1","I","SL",36.25,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima"
"29",29,2014,7,8,"BAKER_NORTH","1","I","SS",2.5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,2014,7,8,"BAKER_NORTH","1","I","URB",2.5,"Algae","Rhodophyta","Erect Red Algae",NA,NA,NA,NA,NA,NA,NA,NA,"Unidentified Red Blade"
"31",31,2014,7,8,"BAKER_NORTH","1","O","ANSP",1.25,"Invertebrate","Molluscs","Bivalves",NA,"jingle shell",NA,NA,NA,NA,NA,NA,"Anomia "
"32",32,2014,7,8,"BAKER_NORTH","1","O","B",3.75,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,2014,7,8,"BAKER_NORTH","1","O","BL",5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,2014,7,8,"BAKER_NORTH","1","O","BM",7.5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,2014,7,8,"BAKER_NORTH","1","O","BOSC",1.25,"Invertebrate","Chordates","Tunicates",NA,"golden star tunicate","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Botryllus","Botryllus schlosseri"
"36",36,2014,7,8,"BAKER_NORTH","1","O","BS",12.5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,2014,7,8,"BAKER_NORTH","1","O","C",12.5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,2014,7,8,"BAKER_NORTH","1","O","CF",5,"Invertebrate","Molluscs","Gastropods",NA,"Slipper Snail","Animalia","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Crepidula","Crepidula fornicata"
"39",39,2014,7,8,"BAKER_NORTH","1","O","CHCR",3.75,"Algae","Rhodophyta","Erect Red Algae",NA,"Irish moss","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Chondrus","Chondrus crispus"
"40",40,2014,7,8,"BAKER_NORTH","1","O","CLSP",5,"Invertebrate","Proifera","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,"Cliona "
"41",41,2014,7,8,"BAKER_NORTH","1","O","DEAC",3.75,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia aculeata"
"42",42,2014,7,8,"BAKER_NORTH","1","O","DEVI",6.25,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis"
"43",43,2014,7,8,"BAKER_NORTH","1","O","DIAT",2.5,"Algae","Phaeophyta","Brown Algae",NA,NA,NA,NA,NA,NA,NA,NA,"Diatom Tube Mat"
"44",44,2014,7,8,"BAKER_NORTH","1","O","DIVE",1.25,"Invertebrate","Chordates","Tunicates",NA,"tunicate","Animalia","Chordata","Ascidiacea","Aplousobranchia","Didemnidae","Didemnum","Didemnum vexillum"
"45",45,2014,7,8,"BAKER_NORTH","1","O","EC",6.25,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Encrusting coralline"
"46",46,2014,7,8,"BAKER_NORTH","1","O","HIRU",1.25,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,"Plantae","Rhodophyta","Florideophyceae","Hildenbrandiales","Hildenbrandiaceae","Hildenbrandia","Hildenbrandia rubra"
"47",47,2014,7,8,"BAKER_NORTH","1","O","LIGL",6.25,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Lithothamnion "
"48",48,2014,7,8,"BAKER_NORTH","1","O","LIVE",1.25,"Invertebrate","Bryozoans","Bryozoans",NA,NA,NA,NA,NA,NA,NA,NA,"Lichenopora verrucaria"
"49",49,2014,7,8,"BAKER_NORTH","1","O","MAST",2.5,"Algae","Rhodophyta","Erect Red Algae",NA,"false irish moss","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Phyllophoraceae","Mastocarpus","Mastocarpus stellatus"
"50",50,2014,7,8,"BAKER_NORTH","1","O","MEMA",1.25,"Invertebrate","Bryozoans","Bryozoans",NA,"sea lace","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora membranacea"
"51",51,2014,7,8,"BAKER_NORTH","1","O","MYED",1.25,"Invertebrate","Molluscs","Bivalves",NA,"Blue Mussel","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Mytilus","Mytilus edulis"
"52",52,2014,7,8,"BAKER_NORTH","1","O","P",3.75,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,2014,7,8,"BAKER_NORTH","1","O","POLS",1.25,"Algae","Rhodophyta","Erect Red Algae",NA,"lobster horns",NA,NA,NA,NA,NA,NA,"Polysiphonia "
"54",54,2014,7,8,"BAKER_NORTH","1","O","RAT",1.25,"Algae","Rhodophyta","Erect Red Algae",NA,NA,NA,NA,NA,NA,NA,NA,"Red Algal Turf"
"55",55,2014,7,8,"BAKER_NORTH","1","O","S",1.25,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,2014,7,8,"BAKER_NORTH","1","O","SH",3.75,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,2014,7,8,"BAKER_NORTH","1","O","SL",41.25,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima"
"58",58,2014,7,8,"BAKER_NORTH","1","O","URB",2.5,"Algae","Rhodophyta","Erect Red Algae",NA,NA,NA,NA,NA,NA,NA,NA,"Unidentified Red Blade"
"59",59,2014,7,8,"BAKER_NORTH","2","I","ANSP",3.75,"Invertebrate","Molluscs","Bivalves",NA,"jingle shell",NA,NA,NA,NA,NA,NA,"Anomia "
"60",60,2014,7,8,"BAKER_NORTH","2","I","B",3.75,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,2014,7,8,"BAKER_NORTH","2","I","BA",1.25,"Invertebrate","Arthropods","Crustaceans",NA,NA,NA,NA,NA,NA,NA,NA,"Barnacle "
"62",62,2014,7,8,"BAKER_NORTH","2","I","BL",16.25,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,2014,7,8,"BAKER_NORTH","2","I","BM",11.25,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,2014,7,8,"BAKER_NORTH","2","I","BS",3.75,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,2014,7,8,"BAKER_NORTH","2","I","C",5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,2014,7,8,"BAKER_NORTH","2","I","CF",2.5,"Invertebrate","Molluscs","Gastropods",NA,"Slipper Snail","Animalia","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Crepidula","Crepidula fornicata"
"67",67,2014,7,8,"BAKER_NORTH","2","I","CHCR",3.75,"Algae","Rhodophyta","Erect Red Algae",NA,"Irish moss","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Chondrus","Chondrus crispus"
"68",68,2014,7,8,"BAKER_NORTH","2","I","CRSP",2.5,"Algae","Rhodophyta","Erect Red Algae",NA,"Banded weed",NA,NA,NA,NA,NA,NA,"Ceramium "
"69",69,2014,7,8,"BAKER_NORTH","2","I","CYPU",1.25,"Algae","Rhodophyta","Erect Red Algae",NA,"Purple claw weed","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Cystocloniaceae","Cystoclonium","Cystoclonium purpureum"
"70",70,2014,7,8,"BAKER_NORTH","2","I","DEAC",1.25,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia aculeata"
"71",71,2014,7,8,"BAKER_NORTH","2","I","DEVI",6.25,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis"
"72",72,2014,7,8,"BAKER_NORTH","2","I","EC",5,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Encrusting coralline"
"73",73,2014,7,8,"BAKER_NORTH","2","I","HAPA",2.5,"Invertebrate","Proifera","Sponges",NA,"Breadcrumb Sponge",NA,NA,NA,NA,NA,NA,"Halichondria panicea"
"74",74,2014,7,8,"BAKER_NORTH","2","I","HJ",1.25,"Algae","Rhodophyta","Erect Red Algae",NA,"japan red algae",NA,NA,NA,NA,NA,NA,"Heterosiphonia japonica"
"75",75,2014,7,8,"BAKER_NORTH","2","I","LIGL",6.25,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Lithothamnion "
"76",76,2014,7,8,"BAKER_NORTH","2","I","MEMA",2.5,"Invertebrate","Bryozoans","Bryozoans",NA,"sea lace","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora membranacea"
"77",77,2014,7,8,"BAKER_NORTH","2","I","P",1.25,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,2014,7,8,"BAKER_NORTH","2","I","RAT",3.75,"Algae","Rhodophyta","Erect Red Algae",NA,NA,NA,NA,NA,NA,NA,NA,"Red Algal Turf"
"79",79,2014,7,8,"BAKER_NORTH","2","I","S",2.5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,2014,7,8,"BAKER_NORTH","2","I","SH",5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,2014,7,8,"BAKER_NORTH","2","I","SL",46.25,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima"
"82",82,2014,7,8,"BAKER_NORTH","2","I","SS",1.25,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,2014,7,8,"BAKER_NORTH","2","I","URB",1.25,"Algae","Rhodophyta","Erect Red Algae",NA,NA,NA,NA,NA,NA,NA,NA,"Unidentified Red Blade"
"84",84,2014,7,8,"BAKER_NORTH","2","O","ANSP",6.25,"Invertebrate","Molluscs","Bivalves",NA,"jingle shell",NA,NA,NA,NA,NA,NA,"Anomia "
"85",85,2014,7,8,"BAKER_NORTH","2","O","B",2.5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",86,2014,7,8,"BAKER_NORTH","2","O","BL",17.5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87,2014,7,8,"BAKER_NORTH","2","O","BM",16.25,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",88,2014,7,8,"BAKER_NORTH","2","O","BOVI",1.25,"Invertebrate","Chordates","Tunicates",NA,"orange sheath tunicate","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Botrylloides","Botrylloides violaceus"
"89",89,2014,7,8,"BAKER_NORTH","2","O","BS",5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,2014,7,8,"BAKER_NORTH","2","O","C",5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,2014,7,8,"BAKER_NORTH","2","O","CF",2.5,"Invertebrate","Molluscs","Gastropods",NA,"Slipper Snail","Animalia","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Crepidula","Crepidula fornicata"
"92",92,2014,7,8,"BAKER_NORTH","2","O","CHCR",2.5,"Algae","Rhodophyta","Erect Red Algae",NA,"Irish moss","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Chondrus","Chondrus crispus"
"93",93,2014,7,8,"BAKER_NORTH","2","O","CLSP",3.75,"Invertebrate","Proifera","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,"Cliona "
"94",94,2014,7,8,"BAKER_NORTH","2","O","CO",1.25,"Algae","Rhodophyta","Erect Red Algae",NA,"coral weed",NA,NA,NA,NA,NA,NA,"Corralina officinalis"
"95",95,2014,7,8,"BAKER_NORTH","2","O","CRSP",2.5,"Algae","Rhodophyta","Erect Red Algae",NA,"Banded weed",NA,NA,NA,NA,NA,NA,"Ceramium "
"96",96,2014,7,8,"BAKER_NORTH","2","O","DEAC",7.5,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia aculeata"
"97",97,2014,7,8,"BAKER_NORTH","2","O","DIAT",1.25,"Algae","Phaeophyta","Brown Algae",NA,NA,NA,NA,NA,NA,NA,NA,"Diatom Tube Mat"
"98",98,2014,7,8,"BAKER_NORTH","2","O","DIVE",1.25,"Invertebrate","Chordates","Tunicates",NA,"tunicate","Animalia","Chordata","Ascidiacea","Aplousobranchia","Didemnidae","Didemnum","Didemnum vexillum"
"99",99,2014,7,8,"BAKER_NORTH","2","O","EC",6.25,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Encrusting coralline"
"100",100,2014,7,8,"BAKER_NORTH","2","O","HAPA",2.5,"Invertebrate","Proifera","Sponges",NA,"Breadcrumb Sponge",NA,NA,NA,NA,NA,NA,"Halichondria panicea"
"101",101,2014,7,8,"BAKER_NORTH","2","O","HJ",3.75,"Algae","Rhodophyta","Erect Red Algae",NA,"japan red algae",NA,NA,NA,NA,NA,NA,"Heterosiphonia japonica"
"102",102,2014,7,8,"BAKER_NORTH","2","O","LIGL",1.25,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Lithothamnion "
"103",103,2014,7,8,"BAKER_NORTH","2","O","MAST",1.25,"Algae","Rhodophyta","Erect Red Algae",NA,"false irish moss","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Phyllophoraceae","Mastocarpus","Mastocarpus stellatus"
"104",104,2014,7,8,"BAKER_NORTH","2","O","MEMA",3.75,"Invertebrate","Bryozoans","Bryozoans",NA,"sea lace","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora membranacea"
"105",105,2014,7,8,"BAKER_NORTH","2","O","P",1.25,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",106,2014,7,8,"BAKER_NORTH","2","O","PHRU",1.25,"Algae","Rhodophyta","Erect Red Algae",NA,"sea oak","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Phycodrys","Phycodrys rubens"
"107",107,2014,7,8,"BAKER_NORTH","2","O","POLS",1.25,"Algae","Rhodophyta","Erect Red Algae",NA,"lobster horns",NA,NA,NA,NA,NA,NA,"Polysiphonia "
"108",108,2014,7,8,"BAKER_NORTH","2","O","RAT",5,"Algae","Rhodophyta","Erect Red Algae",NA,NA,NA,NA,NA,NA,NA,NA,"Red Algal Turf"
"109",109,2014,7,8,"BAKER_NORTH","2","O","S",2.5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",110,2014,7,8,"BAKER_NORTH","2","O","SL",40,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima"
"111",111,2014,7,9,"BAKER_NORTH","3","I","ATM",5,"Invertebrate","Arthropods","Crustaceans",NA,NA,NA,NA,NA,NA,NA,NA,"Amphipod tube mat"
"112",112,2014,7,9,"BAKER_NORTH","3","I","B",33.75,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",113,2014,7,9,"BAKER_NORTH","3","I","BL",12.5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",114,2014,7,9,"BAKER_NORTH","3","I","BOVI",1.25,"Invertebrate","Chordates","Tunicates",NA,"orange sheath tunicate","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Botrylloides","Botrylloides violaceus"
"115",115,2014,7,9,"BAKER_NORTH","3","I","C",1.25,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",116,2014,7,9,"BAKER_NORTH","3","I","CHCR",5,"Algae","Rhodophyta","Erect Red Algae",NA,"Irish moss","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Chondrus","Chondrus crispus"
"117",117,2014,7,9,"BAKER_NORTH","3","I","CLSP",2.5,"Invertebrate","Proifera","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,"Cliona "
"118",118,2014,7,9,"BAKER_NORTH","3","I","DEVI",25,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis"
"119",119,2014,7,9,"BAKER_NORTH","3","I","EC",5,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Encrusting coralline"
"120",120,2014,7,9,"BAKER_NORTH","3","I","HJ",12.5,"Algae","Rhodophyta","Erect Red Algae",NA,"japan red algae",NA,NA,NA,NA,NA,NA,"Heterosiphonia japonica"
"121",121,2014,7,9,"BAKER_NORTH","3","I","LIGL",6.25,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Lithothamnion "
"122",122,2014,7,9,"BAKER_NORTH","3","I","MAST",2.5,"Algae","Rhodophyta","Erect Red Algae",NA,"false irish moss","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Phyllophoraceae","Mastocarpus","Mastocarpus stellatus"
"123",123,2014,7,9,"BAKER_NORTH","3","I","P",1.25,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",124,2014,7,9,"BAKER_NORTH","3","I","POLS",2.5,"Algae","Rhodophyta","Erect Red Algae",NA,"lobster horns",NA,NA,NA,NA,NA,NA,"Polysiphonia "
"125",125,2014,7,9,"BAKER_NORTH","3","I","SL",20,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima"
"126",126,2014,7,9,"BAKER_NORTH","3","I","SLJ",6.25,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima"
"127",127,2014,7,9,"BAKER_NORTH","3","I","SS",1.25,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",128,2014,7,9,"BAKER_NORTH","3","I","UEC",2.5,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Unidentified Erect Coralline"
"129",129,2014,7,9,"BAKER_NORTH","3","O","ASFO",1.25,"Invertebrate","Echinoderms","Sea Stars",NA,"Forbes Star",NA,NA,NA,NA,NA,NA,"Asterias forbesii"
"130",130,2014,7,9,"BAKER_NORTH","3","O","ATM",8.75,"Invertebrate","Arthropods","Crustaceans",NA,NA,NA,NA,NA,NA,NA,NA,"Amphipod tube mat"
"131",131,2014,7,9,"BAKER_NORTH","3","O","B",33.75,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",132,2014,7,9,"BAKER_NORTH","3","O","BL",15,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",133,2014,7,9,"BAKER_NORTH","3","O","BOVI",2.5,"Invertebrate","Chordates","Tunicates",NA,"orange sheath tunicate","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Botrylloides","Botrylloides violaceus"
"134",134,2014,7,9,"BAKER_NORTH","3","O","CHCR",6.25,"Algae","Rhodophyta","Erect Red Algae",NA,"Irish moss","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Chondrus","Chondrus crispus"
"135",135,2014,7,9,"BAKER_NORTH","3","O","CLSP",1.25,"Invertebrate","Proifera","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,"Cliona "
"136",136,2014,7,9,"BAKER_NORTH","3","O","CO",3.75,"Algae","Rhodophyta","Erect Red Algae",NA,"coral weed",NA,NA,NA,NA,NA,NA,"Corralina officinalis"
"137",137,2014,7,9,"BAKER_NORTH","3","O","CRSP",1.25,"Algae","Rhodophyta","Erect Red Algae",NA,"Banded weed",NA,NA,NA,NA,NA,NA,"Ceramium "
"138",138,2014,7,9,"BAKER_NORTH","3","O","DEVI",26.25,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis"
"139",139,2014,7,9,"BAKER_NORTH","3","O","DIVE",1.25,"Invertebrate","Chordates","Tunicates",NA,"tunicate","Animalia","Chordata","Ascidiacea","Aplousobranchia","Didemnidae","Didemnum","Didemnum vexillum"
"140",140,2014,7,9,"BAKER_NORTH","3","O","EC",5,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Encrusting coralline"
"141",141,2014,7,9,"BAKER_NORTH","3","O","HJ",13.75,"Algae","Rhodophyta","Erect Red Algae",NA,"japan red algae",NA,NA,NA,NA,NA,NA,"Heterosiphonia japonica"
"142",142,2014,7,9,"BAKER_NORTH","3","O","LEUC",1.25,"Invertebrate","Proifera","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,"Leucosolenia "
"143",143,2014,7,9,"BAKER_NORTH","3","O","LIGL",3.75,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Lithothamnion "
"144",144,2014,7,9,"BAKER_NORTH","3","O","MAST",2.5,"Algae","Rhodophyta","Erect Red Algae",NA,"false irish moss","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Phyllophoraceae","Mastocarpus","Mastocarpus stellatus"
