"","X","YEAR","MONTH","DAY","SITE","TRANSECT","SP_CODE","QUAD","SIDE","COUNT","AREA","GROUP","DIVISION.FAMILY","COMMON.DIVISION.NAME","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES","NOTES"
"44",44,2014,7,8,"BAKER_NORTH","1","CABO","20-40","I",1,20,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","AJH = Inshore"
"45",45,2014,7,8,"BAKER_NORTH","1","CAIR","20-40","I",NA,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","Katy = Offshore"
"46",46,2014,7,8,"BAKER_NORTH","1","HOAM","20-40","I",5,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","""orange fish 5cm"" 1 in 20-0 OFF, removed"
"47",47,2014,7,8,"BAKER_NORTH","1","PHGU","20-40","I",NA,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus","""gunnel"" changed to PHGU"
"48",48,2014,7,8,"BAKER_NORTH","1","MYSP","20-40","I",4,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"49",49,2014,7,8,"BAKER_NORTH","1","PHGU","20-40","I",NA,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"50",50,2014,7,8,"BAKER_NORTH","1","LISP","20-40","I",2,20,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Lithophyllum ","""Shanny"" changed to LISP (Lipophrys sp.)"
"51",51,2014,7,9,"BAKER_NORTH","4","HOAM","40-20","O",NA,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","AJH = Inshore"
"52",52,2014,7,9,"BAKER_NORTH","4","CABO","40-20","O",2,20,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","Katy = Offshore"
"53",53,2014,7,9,"BAKER_NORTH","4","CAIR","40-20","O",1,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus",NA
"54",54,2014,7,9,"BAKER_NORTH","4","MYSP","40-20","O",NA,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"55",55,2014,7,9,"BAKER_NORTH","4","PHGU","40-20","O",2,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"56",56,2014,7,9,"BAKER_NORTH","4","LISP","40-20","O",NA,20,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Lithophyllum ","""Shanny"" changed to LISP (Lipophrys sp.)"
"57",57,2014,7,9,"BAKER_NORTH","3","CABO","40-20","O",1,20,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","AJH = Inshore"
"58",58,2014,7,9,"BAKER_NORTH","3","CAIR","40-20","O",1,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","Katy = Offshore"
"59",59,2014,7,9,"BAKER_NORTH","3","HOAM","40-20","O",3,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus",NA
"60",60,2014,7,9,"BAKER_NORTH","3","MYSP","40-20","O",NA,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"61",61,2014,7,9,"BAKER_NORTH","3","PHGU","40-20","O",NA,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"62",62,2014,7,9,"BAKER_NORTH","3","CYLU ","40-20","O",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,2014,7,8,"BAKER_NORTH","2","CABO","40-20","O",NA,20,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","AJH = Inshore 0-20 (7/9/2014)"
"64",64,2014,7,8,"BAKER_NORTH","2","CAIR","40-20","O",NA,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","Katy = O.S. 20-40m and Offshore"
"65",65,2014,7,8,"BAKER_NORTH","2","HOAM","40-20","O",7,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus",NA
"66",66,2014,7,8,"BAKER_NORTH","2","MYSP","40-20","O",NA,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"67",67,2014,7,8,"BAKER_NORTH","2","PHGU","40-20","O",NA,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"68",68,2014,7,8,"BAKER_NORTH","2","LISP","40-20","O",NA,20,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Lithophyllum ","""Shanny"" changed to LISP (Lipophrys sp.)"
"69",69,2014,7,8,"BAKER_NORTH","1","CABO","40-20","O",1,20,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","AJH = Inshore"
"70",70,2014,7,8,"BAKER_NORTH","1","CAIR","40-20","O",NA,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","Katy = Offshore"
"71",71,2014,7,8,"BAKER_NORTH","1","HOAM","40-20","O",4,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","""orange fish 5cm"" 1 in 20-0 OFF, removed"
"72",72,2014,7,8,"BAKER_NORTH","1","PHGU","40-20","O",2,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus","""gunnel"" changed to PHGU"
"73",73,2014,7,8,"BAKER_NORTH","1","MYSP","40-20","O",2,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"74",74,2014,7,8,"BAKER_NORTH","1","PHGU","40-20","O",NA,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"75",75,2014,7,8,"BAKER_NORTH","1","LISP","40-20","O",NA,20,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Lithophyllum ","""Shanny"" changed to LISP (Lipophrys sp.)"
"76",76,2014,7,9,"BAKER_NORTH","4","HOAM","20-0","O",7,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","AJH = Inshore"
"77",77,2014,7,9,"BAKER_NORTH","4","CABO","20-0","O",NA,20,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","Katy = Offshore"
"78",78,2014,7,9,"BAKER_NORTH","4","CAIR","20-0","O",NA,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus",NA
"79",79,2014,7,9,"BAKER_NORTH","4","MYSP","20-0","O",NA,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"80",80,2014,7,9,"BAKER_NORTH","4","PHGU","20-0","O",2,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"81",81,2014,7,9,"BAKER_NORTH","4","LISP","20-0","O",NA,20,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Lithophyllum ","""Shanny"" changed to LISP (Lipophrys sp.)"
"82",82,2014,7,9,"BAKER_NORTH","3","CABO","20-0","O",NA,20,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","AJH = Inshore"
"83",83,2014,7,9,"BAKER_NORTH","3","CAIR","20-0","O",1,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","Katy = Offshore"
"84",84,2014,7,9,"BAKER_NORTH","3","HOAM","20-0","O",4,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus",NA
"85",85,2014,7,9,"BAKER_NORTH","3","MYSP","20-0","O",NA,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"86",86,2014,7,9,"BAKER_NORTH","3","PHGU","20-0","O",2,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"87",87,2014,7,9,"BAKER_NORTH","3","CYLU ","20-0","O",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",88,2014,7,8,"BAKER_NORTH","2","CABO","20-0","O",1,20,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","AJH = Inshore 0-20 (7/9/2014)"
"89",89,2014,7,8,"BAKER_NORTH","2","CAIR","20-0","O",NA,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","Katy = O.S. 20-40m and Offshore"
"90",90,2014,7,8,"BAKER_NORTH","2","HOAM","20-0","O",6,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus",NA
"91",91,2014,7,8,"BAKER_NORTH","2","MYSP","20-0","O",1,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"92",92,2014,7,8,"BAKER_NORTH","2","PHGU","20-0","O",NA,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"93",93,2014,7,8,"BAKER_NORTH","2","LISP","20-0","O",NA,20,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Lithophyllum ","""Shanny"" changed to LISP (Lipophrys sp.)"
"94",94,2014,7,8,"BAKER_NORTH","1","CABO","20-0","O",4,20,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","AJH = Inshore"
"95",95,2014,7,8,"BAKER_NORTH","1","CAIR","20-0","O",NA,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","Katy = Offshore"
"96",96,2014,7,8,"BAKER_NORTH","1","HOAM","20-0","O",3,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","""orange fish 5cm"" 1 in 20-0 OFF, removed"
"97",97,2014,7,8,"BAKER_NORTH","1","PHGU","20-0","O",2,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus","""gunnel"" changed to PHGU"
"98",98,2014,7,8,"BAKER_NORTH","1","MYSP","20-0","O",NA,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"99",99,2014,7,8,"BAKER_NORTH","1","PHGU","20-0","O",NA,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"100",100,2014,7,8,"BAKER_NORTH","1","LISP","20-0","O",NA,20,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Lithophyllum ","""Shanny"" changed to LISP (Lipophrys sp.)"
"101",101,2014,7,10,"BAKER_SOUTH","4","CAIR","0-20","I",7,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus",NA
"102",102,2014,7,10,"BAKER_SOUTH","4","HOAM","0-20","I",1,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus",NA
"103",103,2014,7,10,"BAKER_SOUTH","4","MYSP","0-20","I",NA,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"104",104,2014,7,10,"BAKER_SOUTH","4","PHGU","0-20","I",2,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"105",105,2014,7,10,"BAKER_SOUTH","4","BUUC","0-20","I",5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",106,2014,7,10,"BAKER_SOUTH","3","CAIR","0-20","I",4,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus",NA
"107",107,2014,7,10,"BAKER_SOUTH","3","HOAM","0-20","I",3,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus",NA
"108",108,2014,7,10,"BAKER_SOUTH","3","MYSP","0-20","I",3,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"109",109,2014,7,10,"BAKER_SOUTH","3","PHGU","0-20","I",NA,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"110",110,2014,7,10,"BAKER_SOUTH","3","BUCA","0-20","I",NA,20,"Invertebrate","Molluscs","Gastropods",NA,"Channeled Whelk",NA,NA,NA,NA,NA,NA,"Busycotypus canaliculatum",NA
"111",111,2014,7,10,"BAKER_SOUTH","3","HATO","0-20","I",NA,20,"Algae","Phaeophyta","Brown Algae",NA,"Hairy Shoelace","Chromista","Ochrophyta","Phaeophyceae","Tilopteridales","Halosiphonaceae","Halosiphon","Halosiphon tomentosus",NA
"112",112,2014,7,11,"BAKER_SOUTH","2","CABO","0-20","I",1,20,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis",NA
"113",113,2014,7,11,"BAKER_SOUTH","2","CAIR","0-20","I",2,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus",NA
"114",114,2014,7,11,"BAKER_SOUTH","2","HOAM","0-20","I",1,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus",NA
"115",115,2014,7,11,"BAKER_SOUTH","2","MYSP","0-20","I",NA,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"116",116,2014,7,11,"BAKER_SOUTH","2","PHGU","0-20","I",NA,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"117",117,2014,7,11,"BAKER_SOUTH_","1","CABO","0-20","I",4,20,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis",NA
"118",118,2014,7,11,"BAKER_SOUTH_","1","CAIR","0-20","I",1,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus",NA
