"","X","YEAR","MONTH","DAY","SITE","TRANSECT","SP_CODE","QUAD","SIDE","COUNT","AREA","GROUP","DIVISION.FAMILY","COMMON.DIVISION.NAME","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES","NOTES"
"16",16,2014,7,9,"BAKER_NORTH","3","SLJ",8,"I",20,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","before the max length was changed"""
"17",17,2014,7,9,"BAKER_NORTH","3","DEVI",8,"I",15,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"18",18,2014,7,9,"BAKER_NORTH","3","HESA",8,"I",1,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta",NA
"19",19,2014,7,8,"BAKER_NORTH","2","SL",8,"I",24,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"20",20,2014,7,8,"BAKER_NORTH","2","BLD",8,"I",1,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"21",21,2014,7,8,"BAKER_NORTH","1","DEVI",8,"I",3,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"22",22,2014,7,8,"BAKER_NORTH","1","SLJ",8,"I",1,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"23",23,2014,7,8,"BAKER_NORTH","1","SL",8,"I",20,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"24",24,2014,7,9,"BAKER_NORTH","4","SL",16,"O",11,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","""SLJ is a mix of SLJ +BLD "
"25",25,2014,7,9,"BAKER_NORTH","4","DEVI",16,"O",5,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"26",26,2014,7,9,"BAKER_NORTH","3","SL",16,"O",1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","""SLJ is a mix of SLJ +BLD "
"27",27,2014,7,9,"BAKER_NORTH","3","SLJ",16,"O",34,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","before the max length was changed"""
"28",28,2014,7,9,"BAKER_NORTH","3","DEVI",16,"O",17,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"29",29,2014,7,8,"BAKER_NORTH","2","SL",16,"O",8,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"30",30,2014,7,8,"BAKER_NORTH","2","DEVI",16,"O",2,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"31",31,2014,7,8,"BAKER_NORTH","1","SL",16,"O",29,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"32",32,2014,7,9,"BAKER_NORTH","4","SL",24,"I",10,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","""SLJ is a mix of SLJ +BLD "
"33",33,2014,7,9,"BAKER_NORTH","4","SLJ",24,"I",10,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","before the max length was changed"""
"34",34,2014,7,9,"BAKER_NORTH","4","DEVI",24,"I",17,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"35",35,2014,7,9,"BAKER_NORTH","3","SL",24,"I",1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","""SLJ is a mix of SLJ +BLD "
"36",36,2014,7,9,"BAKER_NORTH","3","SLJ",24,"I",60,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","before the max length was changed"""
"37",37,2014,7,9,"BAKER_NORTH","3","DEVI",24,"I",25,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"38",38,2014,7,8,"BAKER_NORTH","2","SL",24,"I",20,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"39",39,2014,7,8,"BAKER_NORTH","2","BLD",24,"I",4,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"40",40,2014,7,8,"BAKER_NORTH","1","SL",24,"I",35,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"41",41,2014,7,9,"BAKER_NORTH","4","SL",32,"O",7,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","""SLJ is a mix of SLJ +BLD "
"42",42,2014,7,9,"BAKER_NORTH","4","SLJ",32,"O",43,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","before the max length was changed"""
"43",43,2014,7,9,"BAKER_NORTH","4","DEVI",32,"O",35,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"44",44,2014,7,9,"BAKER_NORTH","4","PHGU",32,"O",1,1,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"45",45,2014,7,9,"BAKER_NORTH","3","SL",32,"O",7,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","""SLJ is a mix of SLJ +BLD "
"46",46,2014,7,9,"BAKER_NORTH","3","SLJ",32,"O",6,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","before the max length was changed"""
"47",47,2014,7,9,"BAKER_NORTH","3","DEVI",32,"O",10,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"48",48,2014,7,8,"BAKER_NORTH","2","SL",32,"O",20,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"49",49,2014,7,8,"BAKER_NORTH","2","DEVI",32,"O",1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"50",50,2014,7,8,"BAKER_NORTH","1","SL",32,"O",37,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"51",51,2014,7,8,"BAKER_NORTH","1","ASRU",32,"O",1,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Common Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens",NA
"52",52,2014,7,9,"BAKER_NORTH","4","SL",40,"I",6,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","""SLJ is a mix of SLJ +BLD "
"53",53,2014,7,9,"BAKER_NORTH","4","SLJ",40,"I",33,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","before the max length was changed"""
"54",54,2014,7,9,"BAKER_NORTH","4","DEVI",40,"I",8,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"55",55,2014,7,9,"BAKER_NORTH","3","SL",40,"I",6,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","""SLJ is a mix of SLJ +BLD "
"56",56,2014,7,9,"BAKER_NORTH","3","SLJ",40,"I",14,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","before the max length was changed"""
"57",57,2014,7,9,"BAKER_NORTH","3","DEVI",40,"I",7,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"58",58,2014,7,8,"BAKER_NORTH","2","SL",40,"I",35,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"59",59,2014,7,8,"BAKER_NORTH","1","DEVI",40,"I",1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"60",60,2014,7,8,"BAKER_NORTH","1","SLJ",40,"I",3,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"61",61,2014,7,8,"BAKER_NORTH","1","SL",40,"I",27,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"62",62,2014,7,10,"BAKER_SOUTH","4","SLJ",0,"O",150,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","mix of SLJ and BLD"
"63",63,2014,7,10,"BAKER_SOUTH","4","DEVI",0,"O",1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"64",64,2014,7,10,"BAKER_SOUTH","3","BLD",0,"O",80,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"65",65,2014,7,10,"BAKER_SOUTH","3","SL",0,"O",8,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"66",66,2014,7,10,"BAKER_SOUTH","3","SLJ",0,"O",25,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"67",67,2014,7,10,"BAKER_SOUTH","3","DEVI",0,"O",10,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"68",68,2014,7,10,"BAKER_SOUTH","3","HESA",0,"O",1,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta",NA
"69",69,2014,7,10,"BAKER_SOUTH","3","HEAM",0,"O",1,1,"Fish","Chordates","Fish",NA,"Sea raven","Animalia","Chordata","Actinopteri","Scorpaeniformes","Hemitripteridae","Hemitripterus","Hemitripterus americanus",NA
"70",70,2014,7,11,"BAKER_SOUTH","2","SLJ",0,"O",4,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"71",71,2014,7,11,"BAKER_SOUTH","2","SL",0,"O",3,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"72",72,2014,7,11,"BAKER_SOUTH","2","BLD",0,"O",43,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"73",73,2014,7,11,"BAKER_SOUTH","2","CAIR",0,"O",1,1,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus",NA
"74",74,2014,7,11,"BAKER_SOUTH","2","MYSP",0,"O",1,1,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"75",75,2014,7,11,"BAKER_SOUTH","1","BLD",0,"O",10,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"76",76,2014,7,11,"BAKER_SOUTH","1","SL",0,"O",9,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"77",77,2014,7,11,"BAKER_SOUTH","1","DEVI",0,"O",2,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"78",78,2014,7,10,"BAKER_SOUTH","4","SL",8,"I",3,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"79",79,2014,7,10,"BAKER_SOUTH","4","SLJ",8,"I",50,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","mix of SLJ and BLD"
"80",80,2014,7,10,"BAKER_SOUTH","4","DEVI",8,"I",5,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"81",81,2014,7,10,"BAKER_SOUTH","4","MYSP",8,"I",1,1,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"82",82,2014,7,10,"BAKER_SOUTH","4","HEAM",8,"I",1,1,"Fish","Chordates","Fish",NA,"Sea raven","Animalia","Chordata","Actinopteri","Scorpaeniformes","Hemitripteridae","Hemitripterus","Hemitripterus americanus","*entered SEA RAVEN, put Hemitripterus americanus"
"83",83,2014,7,10,"BAKER_SOUTH","3","BLD",8,"I",42,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"84",84,2014,7,10,"BAKER_SOUTH","3","SL",8,"I",13,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"85",85,2014,7,10,"BAKER_SOUTH","3","SLJ",8,"I",42,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"86",86,2014,7,10,"BAKER_SOUTH","3","DEVI",8,"I",2,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"87",87,2014,7,10,"BAKER_SOUTH","3","CAIR",8,"I",1,1,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus",NA
"88",88,2014,7,11,"BAKER_SOUTH","2","SLJ",8,"I",1,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"89",89,2014,7,11,"BAKER_SOUTH","2","SL",8,"I",13,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"90",90,2014,7,11,"BAKER_SOUTH","2","BLD",8,"I",16,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"91",91,2014,7,11,"BAKER_SOUTH","1","BLD",8,"I",28,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"92",92,2014,7,11,"BAKER_SOUTH","1","SLJ",8,"I",4,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"93",93,2014,7,11,"BAKER_SOUTH","1","SL",8,"I",12,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"94",94,2014,7,11,"BAKER_SOUTH","1","DEVI",8,"I",4,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"95",95,2014,7,10,"BAKER_SOUTH","4","SL",16,"O",7,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"96",96,2014,7,10,"BAKER_SOUTH","4","SLJ",16,"O",35,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","mix of SLJ and BLD"
"97",97,2014,7,10,"BAKER_SOUTH","3","BLD",16,"O",31,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"98",98,2014,7,10,"BAKER_SOUTH","3","SL",16,"O",4,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"99",99,2014,7,10,"BAKER_SOUTH","3","SLJ",16,"O",25,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"100",100,2014,7,10,"BAKER_SOUTH","3","DEVI",16,"O",1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"101",101,2014,7,10,"BAKER_SOUTH","3","CAIR",16,"O",1,1,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus",NA
"102",102,2014,7,11,"BAKER_SOUTH","2","DEVI",16,"O",2,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"103",103,2014,7,11,"BAKER_SOUTH","2","SL",16,"O",8,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"104",104,2014,7,11,"BAKER_SOUTH","2","BLD",16,"O",23,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"105",105,2014,7,11,"BAKER_SOUTH","1","BLD",16,"O",23,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"106",106,2014,7,11,"BAKER_SOUTH","1","SLJ",16,"O",1,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"107",107,2014,7,11,"BAKER_SOUTH","1","SL",16,"O",6,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"108",108,2014,7,11,"BAKER_SOUTH","1","CAIR",16,"O",1,1,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus",NA
"109",109,2014,7,10,"BAKER_SOUTH","4","SL",24,"I",4,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"110",110,2014,7,10,"BAKER_SOUTH","4","SLJ",24,"I",32,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","mix of SLJ and BLD"
"111",111,2014,7,10,"BAKER_SOUTH","4","DEVI",24,"I",2,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"112",112,2014,7,10,"BAKER_SOUTH","3","BLD",24,"I",41,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"113",113,2014,7,10,"BAKER_SOUTH","3","SL",24,"I",6,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
