"NETWORK","PI","YEAR","MONTH","DAY","SITE","TRANSECT","START_LATITUDE","START_LONGITUDE","END_LATITUDE","END_LONGITUDE","START_DEPTH_M","END_DEPTH_M","TEMPERATURE_C","VISIBILITY_M"
"KEEN ONE","Byrnes",2015,7,9,"Baker South","2",42.53135,-70.78362,42.53093,-70.78413,6.1,7.5,13,6
"KEEN ONE","Byrnes",2015,7,10,"Baker South","3",42.5318388082087,-70.784320263192,42.532164780423,-70.7841222826391,9.3,8,12.5,3.5
"KEEN ONE","Byrnes",2015,7,10,"Baker South","4",42.535017,-70.781513,42.535326,-70.781769,6.9,6,13,5.5
"KEEN ONE","Byrnes",2015,7,14,"Calf Island","1",42.3452899977564,-70.8930599503219,42.34499,-70.893344,6.9,7.3,18,2
"KEEN ONE","Byrnes",2015,7,14,"Calf Island","2",42.3442627117037,-70.8932904526591,42.344464296475,-70.8935313485562,8,10.2,15,2
"KEEN ONE","Byrnes",2015,7,14,"Calf Island","3",42.3424299247562,-70.8929499797523,42.342418,-70.892454,7,7.5,16,3
"KEEN ONE","Byrnes",2015,7,14,"Calf Island","4",42.3405299987643,-70.8936199452728,42.340174,-70.893581,8.1,9.5,18,2
"KEEN ONE","Byrnes",2015,7,15,"Little Brewster","1",42.3272208776325,-70.8915652055293,42.3268872778862,-70.8912301808595,6.7,10,16,2
"KEEN ONE","Byrnes",2015,7,17,"Little Brewster","2",42.3270465340465,-70.8908638916909,42.326910579577,-70.8903581276536,5.8,6.1,18.9,2
"KEEN ONE","Byrnes",2015,7,17,"Little Brewster","3",42.3273499589413,-70.8897599950432,42.327456,-70.889281,8.7,7.2,18.3,2
"KEEN ONE","Byrnes",2015,7,15,"Little Brewster","4",42.3278042580932,-70.8887399174273,42.3275044374167,-70.8890097308904,6.1,5.5,17,3
"KEEN ONE","Byrnes",2015,12,8,"NE Appledore","BROADWAY_42ND",42.992189945653,-70.6110799871385,42.9924565739929,-70.6112782191485,8.7,8,13,7
"KEEN ONE","Byrnes",2015,13,8,"NE Appledore","BROAD_COVE",42.9898099880665,-70.6109499838203,42.9897059686481,-70.6105509214103,7.7,8.7,12.5,8
"KEEN ONE","Byrnes",2015,13,8,"NE Appledore","DEVILS_DANCE_FLOOR",42.9927154071629,-70.6134819891303,42.9926432389766,-70.6130809988826,8.5,8,15,7
"KEEN ONE","Byrnes",2015,12,8,"NE Appledore","NORWEGIAN_COVE",42.9903699830174,-70.6108799949288,42.9908521100878,-70.6109935697168,10.2,8,NA,4
"KEEN ONE","Byrnes",2015,8,12,"NW Appledore","SANDPIPER",42.9902022611349,-70.618576426059,42.9899411648511,-70.6189008895307,9.1,5.5,15,7
"KEEN ONE","Byrnes",2015,8,10,"NW Appledore","NORTH_HEAD",42.9929039161652,-70.6156041193753,42.9926791135221,-70.6161299161613,10.1,9.4,14,4
"KEEN ONE","Byrnes",2015,8,10,"NW Appledore","MAGIC_8_BALL",42.991222590208,-70.6181925348937,42.9910713806748,-70.6186123844236,8.5,10,15.6,5
"KEEN ONE","Byrnes",2015,8,10,"NW Appledore","LARUS_LEDGE",42.9908399563282,-70.6183599215,42.9907669499516,-70.6185852270573,10.3,8.9,15.6,2
"KEEN ONE","Byrnes",2015,8,13,"SW Appledore","NORTH_SMITHS_COVE",42.9850580357015,-70.6188271287828,42.9849,-70.618378,4.5,4,16,8
"KEEN ONE","Byrnes",2015,8,13,"SW Appledore","SOUTH_SMITHS_COVE",42.9842899180948,-70.618179962039,42.984621,-70.618363,6.8,7.1,NA,7
"KEEN ONE","Byrnes",2015,8,11,"SW Appledore","NORTH_PEPPERRELL",42.9859418235719,-70.6199330370873,42.9857431724667,-70.6201360467821,10.4,11.3,12.8,6
"KEEN ONE","Byrnes",2015,8,12,"SW Appledore","SOUTH_PEPPERRELL",NA,NA,NA,NA,7.6,4.9,15.6,7
"KEEN ONE","Byrnes",2016,8,2,"Baker North","1",42.53749,-70.78549,42.53736,-70.78511,8.2,8.8,16.7,3
"KEEN ONE","Byrnes",2016,8,2,"Baker North","2",42.53773,-70.78626,42.537587,-70.78649,5.7,6.8,23,3
"KEEN ONE","Byrnes",2016,8,4,"Baker North","3",42.53625,-70.78327,42.536031,-70.782846,6.7,6.4,NA,2
"KEEN ONE","Byrnes",2016,8,4,"Baker North","4",42.53563,-70.78035,42.53527,-70.780238,7.2,7.2,19,2
"KEEN ONE","Byrnes",2016,8,3,"Baker South","1",42.533568,-70.78228,42.53323,-70.782531,7.2,8,20,3
"KEEN ONE","Byrnes",2016,8,3,"Baker South","2",42.532335,-70.783988,42.532475,-70.78354,7.5,7.7,20,3
"KEEN ONE","Byrnes",2016,8,3,"Baker South","3",42.531227,-70.78535,42.531526,-70.785088,7.8,7,21,3.5
"KEEN ONE","Byrnes",2016,8,3,"Baker South","4",42.530752,-70.786561,42.53083,-70.786088,7.2,8.1,NA,1
"KEEN ONE","Byrnes",2016,8,30,"Calf Island","1",42.345715,-70.89132,42.345371,-70.891498,6.4,10.4,13,1.5
"KEEN ONE","Byrnes",2016,8,29,"Calf Island","2",42.343802,-70.8912,42.344108,-70.890999,7.6,6.3,15,2
"KEEN ONE","Byrnes",2016,8,25,"Calf Island","3",42.342275,-70.891011,42.341938,-70.891144,6,5,16.1,3
"KEEN ONE","Byrnes",2016,9,1,"Calf Island","4",42.340155,-70.89377,42.340522,-70.89386,8.5,9.5,14,1.5
"KEEN ONE","Byrnes",2016,8,25,"Little Brewster","1",42.328099,-70.888049,42.327809,-70.888319,6.4,4.3,16.7,3
"KEEN ONE","Byrnes",2016,8,29,"Little Brewster","2",42.3269,-70.888444,42.326753,-70.888858,10,10,13,2
"KEEN ONE","Byrnes",2016,8,30,"Little Brewster","3",42.326938,-70.890339,42.326997,-70.889856,7.9,7.2,16,2
"KEEN ONE","Byrnes",2016,9,1,"Little Brewster","4",42.327162,-70.891487,42.327149,-70.891004,5.9,6.1,16,3
"KEEN ONE","Byrnes",2016,8,9,"NE Appledore","BROADWAY_42ND",42.99184,-70.61057,42.99201,-70.61097,5.9,6.8,15,4
"KEEN ONE","Byrnes",2016,8,9,"NE Appledore","DEVILS_DANCE_FLOOR",42.9976,-70.61309,42.99288,-70.61361,10,9.5,16,1.5
"KEEN ONE","Byrnes",2016,8,8,"NE Appledore","NORWEGIAN_COVE",42.9906,-70.6115,42.9909,-70.6112,8.5,8.5,17,6
"KEEN ONE","Byrnes",2016,8,8,"NE Appledore","BROAD_COVE",42.9898,-70.6108,42.98962,-70.61039,3,8.2,18.6,6
"KEEN ONE","Byrnes",2016,8,11,"NW Appledore","LARUS_LEDGE",42.99121,-70.61816,42.99086,-70.6184,6.7,7.6,15,3
"KEEN ONE","Byrnes",2016,8,11,"NW Appledore","NORTH_HEAD",42.9931,-70.61526,42.99285,-70.61564,9.1,8.8,15,1
"KEEN ONE","Byrnes",2016,8,9,"NW Appledore","MAGIC_8_BALL",42.99109,-70.61833,42.99122,-70.61819,7.4,8,12,3
"KEEN ONE","Byrnes",2016,8,9,"NW Appledore","SANDPIPER",42.99021,-70.61878,42.98521,-70.61927,9.4,10,12,3
"KEEN ONE","Byrnes",2016,8,10,"SW Appledore","NORTH_SMITHS_COVE",42.98505,-70.61876,42.984899,-70.618306,6.4,6.5,18,3
"KEEN ONE","Byrnes",2016,8,10,"SW Appledore","SOUTH_SMITHS_COVE",42.9845,-70.61809,42.98429,-70.61777,5.5,6.5,17.8,3
"KEEN ONE","Byrnes",2016,8,10,"SW Appledore","NORTH_PEPPERRELL",42.98606,-70.61996,42.98543,-70.61961,9.3,8,15.5,3
"KEEN ONE","Byrnes",2016,8,10,"SW Appledore","SOUTH_PEPPERRELL",42.98566,-70.61964,42.98521,-70.61927,5.5,4.6,16,3
"KEEN ONE","Byrnes",2017,7,19,"Baker North","1",42.53781,70.78767,42.5383,70.78728,6.1,8.2,17.2,5
"KEEN ONE","Byrnes",2017,7,20,"Baker North","2",42.5379,70.78578,42.53807,70.78545,8,11,11.7,3
"KEEN ONE","Byrnes",2017,7,20,"Baker North","3",42.5365,70.78381,NA,NA,5.6,9.3,12.8,3
"KEEN ONE","Byrnes",2017,7,20,"Baker North","4",42.53491,70.7812,42.53457,70.78141,1.3,6.6,12.2,4
"KEEN ONE","Byrnes",2017,7,20,"Baker South","1",42.52992,70.78629,42.52958,70.786,6.4,6.8,12.2,2
"KEEN ONE","Byrnes",2017,7,26,"Baker South","2",42.53057,70.78473,42.53074,70.78429,7.6,9,17,5
"KEEN ONE","Byrnes",2017,7,26,"Baker South","3",42.53214,70.78316,42.5386,70.78301,8.6,8.7,17,5
"KEEN ONE","Byrnes",2017,7,31,"Baker South","4",42.53159,70.78199,42.53191,70.78178,7.6,7.3,17,4
"KEEN ONE","Byrnes",2017,8,2,"Calf Island","1",42.34541,70.8924,42.34538,70.89282,8.3,6.2,17.2,1.5
"KEEN ONE","Byrnes",2017,8,2,"Calf Island","2",42.34392,70.89391,NA,NA,8.5,6.1,18,2
"KEEN ONE","Byrnes",2017,8,3,"Calf Island","3",42.3419,70.89213,42.34196,70.89277,8.1,5.9,19.3,2.5
"KEEN ONE","Byrnes",2017,8,3,"Calf Island","4",42.34048,70.89324,42.34044,70.89359,9.3,7.5,14,2.5
"KEEN ONE","Byrnes",2017,8,7,"Little Brewster","1",42.32691,70.89171,42.32706,70.89113,8.5,6.6,16,2
"KEEN ONE","Byrnes",2017,8,4,"Little Brewster","2",42.32703,70.88864,42.3271,70.88802,NA,8.8,18.1,1
"KEEN ONE","Byrnes",2017,8,7,"Little Brewster","3",42.32678,70.8903,42,NA,7,8.5,NA,2
"KEEN ONE","Byrnes",2017,8,15,"NE Appledore","Broad Cove",42.98997,70.61086,42.99028,70.61058,10.2,12.3,11,6
"KEEN ONE","Byrnes",2017,8,15,"NE Appledore","Norwegian Cove",42.99084,70.61073,42.99131,70.61073,8.5,7.3,11,4
"KEEN ONE","Byrnes",2017,8,16,"NE Appledore","Devil's Dance Floor",42.99288,70.61346,42.99258,70.6132,8.5,7.1,9,3
"KEEN ONE","Byrnes",2017,8,16,"NE Appledore","Broadway 42",42.99266,70.61152,NA,NA,7.7,8.2,11,4
"KEEN ONE","Byrnes",2017,8,15,"NW Appledore","8 Ball",42.99151,70.61778,42.99163,70.61742,10.3,7,13,4
"KEEN ONE","Byrnes",2017,8,15,"NW Appledore","North Head",42.99264,70.61617,42.99253,70.61647,11.1,11.5,11,6
"KEEN ONE","Byrnes",2017,8,17,"NW Appledore","Larus Legde",42.99111,70.61825,42.99144,70.61783,8.2,7.1,15,2.5
"KEEN ONE","Byrnes",2017,8,16,"NW Appledore","Sandpiper Beach",42.99015,70.61854,42.99049,70.61826,10.6,8.1,14,3.5
"KEEN ONE","Byrnes",2017,8,16,"SW Appledore","South Smith's Cove",42.98434,70.61806,42.98464,70.61816,7.7,6.6,16,3.5
"KEEN ONE","Byrnes",2017,8,17,"SW Appledore","North Smith's Cove",42.98479,70.61884,42.98486,70.61826,7.4,5.5,16,3
"KEEN ONE","Byrnes",2017,8,17,"SW Appledore","South Pepperrell",42.98524,70.61962,42.98495,70.61983,7,10,13,3
"KEEN ONE","Byrnes",2017,8,17,"SW Appledore","North Pepperrell",42.98613,70.6199,42.98625,70.61944,7.3,7.3,13,2
"KEEN ONE","Byrnes",2018,7,10,"Baker North","1",42.3227,70.47183,42.32264,70.47212,7.7,6.5,12,7
"KEEN ONE","Byrnes",2018,7,16,"Baker North","2",42.32273,70.47141,42.32257,70.42131,NA,NA,NA,NA
"KEEN ONE","Byrnes",2018,7,11,"Baker North","3",42.322,70.47036,42.32197,70.47012,2.4,9,15,5
"KEEN ONE","Byrnes",2018,8,11,"Baker North","4",42.53659,70.78218,42.32491,70.7812,NA,NA,NA,NA
"KEEN ONE","Byrnes",2018,7,3,"Baker South","1",42.31792,70.47157,42.31794,70.47127,7.6,6.8,15,10
"KEEN ONE","Byrnes",2018,7,5,"Baker South","2",42.31831,70.4707,42.31842,70.47048,7.4,7,14,7
"KEEN ONE","Byrnes",2018,7,9,"Baker South","3",42.31902,70.46909,42.31924,70.46974,8,7.4,13,7
"KEEN ONE","Byrnes",2018,7,9,"Baker South","4",42.31972,70.46877,42.3194,70.46858,7.2,6.8,13,8
"KEEN ONE","Byrnes",2018,8,28,"NE APPLEDORE","1",42.9897,70.61036,42.98964,70.61078,9.1,7.6,18,5
"KEEN ONE","Byrnes",2018,8,28,"NE APPLEDORE","2",42.99039,70.61139,42.99021,70.61169,9.3,9.3,17,5
"KEEN ONE","Byrnes",2018,8,28,"NE APPLEDORE","3",42.99242,70.6115,42.99228,70.61119,9.6,9.1,17,5
"KEEN ONE","Byrnes",2018,8,28,"NE APPLEDORE","4",42.99276,70.61322,NA,NA,8.7,NA,17,5
"KEEN ONE","Byrnes",2018,8,29,"NW Appledore","North Head",42.99315,70.61552,42.9929,70.61597,14.9,13.9,12,7
"KEEN ONE","Byrnes",2018,8,30,"NW Appledore","Larus Ledge",42.99079,70.61849,42.99129,70.61843,9.6,14.3,15,5
"KEEN ONE","Byrnes",2018,8,30,"NW Appledore","8 Ball",42.99039,70.61851,42.99009,70.61832,9.7,5.2,18,4
"KEEN ONE","Byrnes",2018,8,30,"SW Appledore","1",42.9861,70.6197,42.98582,70.61938,6.9,6.8,16,5
"KEEN ONE","Byrnes",2018,8,31,"SW Appledore","2",42.98514,70.61996,42.98582,70.61938,10.9,6.8,17,4
"KEEN ONE","Byrnes",2018,8,31,"SW Appledore","3",42.98486,70.61892,42.98509,70.61852,9.8,5.2,20,4
"KEEN ONE","Byrnes",2018,8,31,"SW Appledore","4",42.98446,70.61829,42.98446,70.61813,8.5,6.2,18,5
"KEEN ONE","Cleaver",2016,8,9,"HURR","1",44.03962,-68.88798,44.03973,-68.88823,7,7,14,2
"KEEN ONE","Cleaver",2016,8,15,"HURR","2",44.0408,-68.8953,44.04047,-68.89593,8,5,14,1.5
"KEEN ONE","Cleaver",2016,8,15,"HURR","3",44.03958,-68.89525,44.03947,-68.89483,6,7,14,1
"KEEN ONE","Cleaver",2016,8,20,"HURR","4",44.03882,-68.89298,44.0389,-68.89325,8,5,14,1
"KEEN ONE","Cleaver",2017,7,20,"HURR","1",44.03995,-68.88836,44.0396,-68.8881,7,7,12,3
"KEEN ONE","Cleaver",2017,7,20,"HURR","2",44.04085,-68.89433,44.04066,-68.89474,4,5,13,5
"KEEN ONE","Cleaver",2017,7,27,"HURR","3",44.03941,-68.89541,44.03929,-68.8949,9,4,12,3
"KEEN ONE","Cleaver",2017,8,3,"HURR","4",44.03881,-68.89272,44.03904,-68.89311,4,4,12,3
"KEEN ONE","Cleaver",2017,8,14,"SCHO","1",44.36827,-68.07795,44.36795,-68.07792,3,7,12,3
"KEEN ONE","Cleaver",2017,8,14,"SCHO","2",44.36795,-68.07792,44.36769,-68.07759,10,9,12,2
"KEEN ONE","Cleaver",2017,8,15,"SCHO","3",44.36807,-68.07841,44.36835,-68.07846,11,9,11,3
"KEEN ONE","Cleaver",2017,8,15,"SCHO","4",44.36835,-68.07846,44.36853,-68.07828,9,7,11,3
"KEEN ONE","Dijkstra",2014,8,20,"Nubble","1",43.164158,-70.591034,NA,NA,7.3,9.1,15,5
"KEEN ONE","Dijkstra",2015,8,14,"Nubble","1",43.166109,-70.592358,43.166466,-70.592362,6.4,10,13.3,2
"KEEN ONE","Dijkstra",2017,9,28,"Nubble","1",43.166336,-70.592522,43.166689,-70.592403,7,10.6,12.7,3
"KEEN ONE","Dijkstra",2017,9,28,"Nubble","2",43.166261,-70.592358,43.166561,-70.592106,6.5,10.2,12.7,3
"KEEN ONE","Dijkstra",2017,9,28,"Nubble","3",43.166408,-70.591867,43.166739,-70.591661,5.8,9.8,12.7,3
"KEEN ONE","Dijkstra",2017,9,28,"Nubble","4",43.166631,-70.591681,43.166917,-70.591378,7,10.8,12.7,3
"KEEN ONE","Grabowski",2015,8,4,"Canoe Beach","1",42.42101,-70.90135,42.42135,-70.90569,7.3,10,11,2.5
"KEEN ONE","Grabowski",2015,8,27,"Canoe Beach","2",42.42038,-70.90422,42.42042,-70.90382,6.09,5.49,21,3
"KEEN ONE","Grabowski",2015,8,7,"Pumphouse Beach","1",42.41629,-70.90759,42.4164,-70.90802,5.49,4.88,13.89,2
"KEEN ONE","Grabowski",2015,8,7,"Pumphouse Beach","2",42.4162,-70.90679,42.41632,-70.90636,4.57,1.83,12.78,2
"KEEN ONE","Grabowski",2016,8,16,"Canoe Beach","1",42.42065,-70.90685,42.42047,-70.90644,6.71,5.18,16.1,3
"KEEN ONE","Grabowski",2016,8,16,"Canoe Beach","2",42.42117,-70.90617,42.42115,-70.90666,7.42,7.01,16.1,3
"KEEN ONE","Grabowski",2016,8,3,"Pemaquid","3",NA,NA,NA,NA,8,10,16,5
"KEEN ONE","Grabowski",2016,8,8,"Pemaquid","4",NA,NA,NA,NA,4.9,7.6,17,4
"KEEN ONE","Grabowski",2016,7,13,"Pemaquid","1",43.83558,-69.50793,43.83561,-69.50836,3.96,7.32,11.66,5
"KEEN ONE","Grabowski",2016,7,13,"Pemaquid","2",43.83588,-69.50784,43.83894,-69.50835,5.49,8.53,11.66,5
"KEEN ONE","Grabowski",2017,7,21,"Canoe Beach, Nahant, MA","1",42.420183,-70.906467,42.420439,-70.906808,4,6.5,14.44,2.5
"KEEN ONE","Grabowski",2017,7,21,"Canoe Beach, Nahant, MA","2",42.420264,-70.906468,42.42056,-70.906779,4,6.5,14.44,2.5
"KEEN ONE","Grabowski",2017,7,21,"Pumphouse Beach, Nahant, MA","3",42.41659,-70.907536,42.41634,-70.907153,3.6,4.26,14.44,2
"KEEN ONE","Grabowski",2017,7,21,"Pumphouse Beach, Nahant, MA","4",42.416496,-70.907669,42.416279,-70.907233,4.89,5.48,14.44,2
"KEEN ONE","Grabowski",2018,6,8,"Pumphouse Beach, Nahant, MA","1",42.41652,-70.90709,42.41666,-70.90755,5.5,4.6,18,4
"KEEN ONE","Grabowski",2018,6,8,"Pumphouse Beach, Nahant, MA","2",42.41623,-70.90723,42.41648,-70.90764,5.5,4.6,13,3.5
"KEEN ONE","Grabowski",2018,6,21,"Canoe Beach, Nahant, MA","3",42.4206,-70.90647,42.42071,-70.90694,2.1,5.2,13,3
"KEEN ONE","Grabowski",2018,6,21,"Canoe Beach, Nahant, MA","4",42.42074,-70.90676,42.42028,-70.90638,3.1,1.2,13,3
"KEEN ONE","Humphries",2016,8,23,"Fort Weatherill","1",41.4772145407588,-71.3664210546525,NA,NA,6,8,21.1111111111111,2
"KEEN ONE","Humphries",2016,8,23,"Fort Weatherill","2",41.4769146682058,-71.3635710156022,NA,NA,9,6,21.1111111111111,2
"KEEN ONE","Humphries",2016,8,24,"Fort Weatherill","3",41.4781297326476,-71.3617350539949,NA,NA,9,8,20,1.5
"KEEN ONE","Humphries",2016,8,24,"Fort Weatherill","4",41.4774668826876,-71.3594229621577,NA,NA,7,8,18.8888888888889,2
"KEEN ONE","Humphries",2017,8,29,"Fort Weatherill","1",41.4772430268374,-71.3664210539615,NA,NA,10,7,18.8888888888888,3
"KEEN ONE","Humphries",2017,8,29,"Fort Weatherill","2",41.4769430172352,-71.3635710149172,NA,NA,8,9,18.8888888888888,2.5
"KEEN ONE","Humphries",2017,8,31,"Fort Weatherill","3",41.4781579934827,-71.3617350533138,NA,NA,9,8,17.7777777777777,2
"KEEN ONE","Humphries",2017,8,31,"Fort Weatherill","4",41.4774950330157,-71.3594229614814,NA,NA,7,10,18.8888888888888,1.5
"KEEN ONE","Humphries",2018,9,10,"Fort Weatherill","1",41.4773,-71.3664027777777,41.4773722222222,-71.3664027777777,9,9,20,1
"KEEN ONE","Humphries",2018,9,10,"Fort Weatherill","2",41.477025,-71.3635499999999,41.47675,-71.3639666666666,7.5,7.5,20,1.5
"KEEN ONE","Humphries",2018,9,7,"Fort Weatherill","3",41.4781861111111,-71.3616694444444,41.4778277777777,-71.3616,8,7,18.8889,2.5
"KEEN ONE","Humphries",2018,9,24,"Fort Weatherill","4",41.4774972222222,-71.3594166666666,41.4771611111111,-71.3594416666666,8,8,18.8889,2
